description,price,condo_fee,bedrooms,bathrooms,total_area_m2,vacancies,address,link
SEND,367000,0,1,1,28,0,"Rua Senador Dantas, Centro",/lancamento/venda-apartamento-1-quarto-centro-zona-central-rio-de-janeiro-rj-68m2-id-2607985264/
Send,290000,0,1,1,32,0,"Rua Senador Dantas, Centro",/lancamento/venda-apartamento-1-quarto-centro-zona-central-rio-de-janeiro-rj-43m2-id-2554671032/
Hub Co-Living,490000,0,1,1,33,0,"Rua das Marrecas, Centro",/lancamento/venda-apartamento-1-quarto-centro-zona-central-rio-de-janeiro-rj-79m2-id-2529796661/
Dez Rocha Miranda - 2 quartos com vaga,170000,423,2,1,50,1,"Estrada do Barro Vermelho, Rocha Miranda",/imovel/venda-apartamento-2-quartos-com-piscina-rocha-miranda-zona-norte-rio-de-janeiro-rj-50m2-id-2621630030/
"Casa de Vila à venda, 3 quartos, Botafogo - RIO DE JANEIRO/RJ",570000,0,3,1,54,0,"Rua Fernandes Guimarães, Botafogo",/imovel/venda-casa-3-quartos-com-cozinha-botafogo-zona-sul-rio-de-janeiro-rj-54m2-id-2612144175/
Apartamento-À VENDA-Barra da Tijuca-Rio de Janeiro-RJ,729000,1020,2,2,85,1,"Rua Escritor Rodrigo Melo Franco, Barra da Tijuca",/imovel/venda-apartamento-2-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-85m2-id-2641208934/
Apartamento para venda possui 78 metros quadrados com 2 quartos em Leme - Rio de Janeiro - RJ,710000,880,2,2,78,0,"Rua Gustavo Sampaio, Leme",/imovel/venda-apartamento-2-quartos-com-churrasqueira-leme-zona-sul-rio-de-janeiro-rj-78m2-id-2641094299/
"Apartamento de 3 quartos à venda na Rua Tonelero, Copacabana",1380000,1935,3,2,101,1,"Rua Tonelero, Copacabana",/imovel/venda-apartamento-3-quartos-com-playground-copacabana-zona-sul-rio-de-janeiro-rj-101m2-id-2641375388/
Apartamento para venda com 90 metros quadrados com 3 quartos,200000,75,3,3,90,2,"Rua Mar de Espanha, Lins de Vasconcelos",/imovel/venda-apartamento-3-quartos-lins-de-vasconcelos-zona-norte-rio-de-janeiro-rj-90m2-id-2641150413/
Apartamento para venda com 60 metros quadrados com 2 quartos em Copacabana - Rio de Janeiro - RJ,750000,845,2,2,60,0,"Rua Aires Saldanha, Copacabana",/imovel/venda-apartamento-2-quartos-com-elevador-copacabana-zona-sul-rio-de-janeiro-rj-60m2-id-2641410571/
