neighborhood,city,description,price,condominio,iptu,area,bedrooms,suite,bathrooms,garage,link
Centro, Rio de Janeiro,"UM CHARMOSO EDIFÍCIO HISTÓRICO, COMPLETAMENTE MODERNIZADO E REVITALIZADO! VISITE O DECORADO E SE SURPREENDA COM O PROJETO E A LOCALIZAÇÃO. Studios de 28 a 68m².MORE OU INVISTA EM UM RARO IMÓVEL RESIDENCIAL NA MELHOR ÁREA DO CENTRO DO RIO.Área de lazer complete: Send Space, Biblioteca Compartilhada, Send Cooliving, Lavanderia, Espaço Gourmet, Sauna, Fitness, Game Place, Pet Point, Bar e Grill, Espelho D’agua, Cinema, Palco, Send Café.Ótima localização: perto do aeroporto Santos Dumont, a poucos passos das estações do Metrô Carioca e Cinelândia, e próximo a Lapa. Perfeito para quem procura por mobilidade, praticidade e comodidade no seu dia a dia.", 367000,0,0,28,1,0,1,0,https://www.zapimoveis.com.br/lancamento/venda-apartamento-1-quarto-centro-zona-central-rio-de-janeiro-rj-68m2-id-2607985264/
Centro, Rio de Janeiro,"O CENTRO DO RIO ESTÁ SEREQUALIFICANDO. MORAR NO SEND   CENTRO É UMA GRANDE OPORTUNIDADE PARA MORAR OU INVESTIR.O AMBICIOSO PROJETO REVIVER CENTRO VISA A REQUALIFICAÇÃO URBANÍSTICA, CULTURAL, SOCIAL E ECONÔMICA DA REGIÃO CENTRAL DO RIO. O OBJETIVO É ATRAIR INVESTIDORES, MORADORES E PESSOAS QUE QUEREM MORAR PERTO DO TRABALHO, RESPIRAR CULTURA E EDUCAÇÃO, APROVEITAR O MELHOR DA DIVERSÃO E PRESERVAR A HISTÓRIA DA CIDADE E O MEIO AMBIENTE. O NOVO RESIDENCIAL SEND SE ANTECIPOU AO REVIVER CENTRO. UMA GRANDE OPORTUNIDADE PARA MORAR OU INVESTIR NO CENTRO DO RIO", 290000,0,0,32,1,0,1,0,https://www.zapimoveis.com.br/lancamento/venda-apartamento-1-quarto-centro-zona-central-rio-de-janeiro-rj-43m2-id-2554671032/
Centro, Rio de Janeiro,"Economia criativa e inovação. Esses são os pilares do mundo contemporâneo que constroem o Hub Co Living. Um espaço para morar e também investir. Com uma localização que é mais que privilegiada: a poucos passos do Aterro do Flamengo, o maior parque urbano do mundo à beira mar, e de todas as facilidades do Centro do Rio!Escritórios de co working, patinete elétrico, bicicleta compartilhada, aplicativos de transporte, hospedagem. Sem nos darmos conta, essa tendência já está totalmente inserida no nosso cotidiano. E foi sob esta lógica do ganha ganha, que o Hub Co living foi criado, trazendo para o seu dia a dia a eficiência da economia colaborativa, além de conforto e praticidade onde você precisa.O Hub Co living é uma inovação no mercado imobiliário carioca: o primeiro co living do Rio. Com estruturas colaborativas dentro do prédio.Apartamentos Studio de 32,53 a 66,92m² projetados para sua vida ter mais praticidade e estilo. Espaços modernos, integrados e aconchegantes. Prontos para atender a todas as suas necessidades.Além de contar com uma área de convivência integrada com serviços exclusivos. More no Hub e viva uma vida mais conectada com tudo que você gosta.Muito mais personalidade nas áreas comuns. No Hub Coliving, você vai ter acesso a tudo isso com muito estilo. As áreas comuns serão entregues mobiliadas, conforme projeto exclusivo de decoração e paisagismo.Viver no Hub Co Living é ter uma vizinhança repleta de opções de cultura e lazer.Venha morar a 7 minutos do aterro e a 4 minutos de bicicleta até a ciclovia da orla. Você pertinho do maior complexo de lazer da cidade do Rio de Janeiro. Além de estar a alguns passos de tudo o mais que você precisa: 3 minutos a pé do metrô, 5 minutos a pé dos Arcos da Lapa, 5 minutos de uber até o aeroporto, 4 minutos a pé até a sala Cecília Meireles.Seu escritório a um elevador de distância. Se você precisar estudar ou trabalhar, o Hub Co living preparou um espaço exclusivo, onde você ainda pode trocar informações e experiências. Tudo sem sair de casa.Compartilhar bons momentos é a especialidade da casa. No Hub Co living, você pode revelar os seus talentos de chef, promovendo encontros com um toque de gastronomia no exclusivo louge gourmet.Nada melhor que compartilhar um bom filme e uma boa pipoca. Junte a família e os amigos para curtir um cineminha em um ambiente aconchegante e todo equipado sem sair de casa no movie room.Além de toda oferta de lazer ao seu entorno, o Hub Co living conta com uma piscina para seus moradores, além de várias outras opções dentro do próprio condomínio.O Hub Coliving também disponibiliza, através do sistema Pay Per Use, uma lavanderia compartilhada. Assim, até a sua consciência ecológica fica limpa.Financiamento Bancário", 490000,0,0,33,1,0,1,0,https://www.zapimoveis.com.br/lancamento/venda-apartamento-1-quarto-centro-zona-central-rio-de-janeiro-rj-79m2-id-2529796661/
Copacabana, Rio de Janeiro,"CONJUGADÃO REFORMADO EM RUA NOBRE DE COPACABANA! Apartamento de alto padrão com reforma impecável em rua tranquila e arborizada. Bem silencioso, claro e bem arejado. Sala bem espaçosa em dois ambientes. Cozinha com armário embutido e banheiro com box blindex e azulejos até o teto.", 450000,590,900,30,1,0,1,0,https://www.zapimoveis.com.br/imovel/venda-quitinete-1-quarto-copacabana-zona-sul-rio-de-janeiro-rj-30m2-id-2639994575/
Ipanema, Rio de Janeiro,"Tenho o prazer de apresentar a você este belíssimo apartamento à venda no condomínio Residencial Joana Angélica, localizado na Rua Joana Angélica, no charmoso bairro de Ipanema, na cidade do Rio de Janeiro RJ. Construído em 2005, o condomínio oferece uma infraestrutura completa e está em uma localização privilegiada. Este apartamento tem aproximadamente 80m² e foi reformado, proporcionando um ambiente moderno e aconchegante. Com um layout inteligente, possui 2 suítes espaçosas, ideal para quem busca privacidade e conforto. A sala é integrada em 2 ambientes, sendo uma área destinada à TV e outra para jantar, perfeita para receber familiares e amigos. A cozinha é completa, oferecendo praticidade e funcionalidade no dia a dia. Além disso, o apartamento conta com uma varanda em uma das suítes, com uma vista deslumbrante para o Cristo Redentor, proporcionando momentos de relaxamento e contemplação. O condomínio oferece uma ampla gama de opções de lazer, incluindo piscina, churrasqueira, espaço gourmet, academia, brinquedoteca, quadra, piscina aquecida, playground, salão de jogos e área verde. É o local perfeito para desfrutar de momentos de diversão e entretenimento sem sair de casa. O apartamento também possui uma vaga de garagem e conta com serviço de arrumação diária, proporcionando ainda mais comodidade aos moradores. O valor do condomínio é de R$ 2.700,00 por mês, e o IPTU é de R$ 650,00 divididos em 10 cotas. Não perca a oportunidade de adquirir este apartamento exclusivo, com uma localização privilegiada, vista deslumbrante e uma infraestrutura completa. Entre em contato conosco para agendar uma visita e conhecer de perto todos os detalhes deste imóvel incrível. Cod:NIFL20056  Rev.03Jul", 2850000,2700,650,80,2,1,3,1,https://www.zapimoveis.com.br/imovel/venda-flat-2-quartos-mobiliado-ipanema-zona-sul-rio-de-janeiro-rj-80m2-id-2642412648/
Botafogo, Rio de Janeiro,"h2 OPORTUNIDADE DE APARTAMENTO EM VILA RESIDENCIAL. Excelente sala e quarto, cozinha grande, área de serviço separada e banheiro social. Diferencial com área externa. Com 40 m² no iptu. Documentação toda ok, condominio barato. Localização privilegiada, transversal cobiçada, 10 min do metrô, fácil condução, próximo de um farto comércio, colégios renomados, hospitais, shopping Rio Sul e muito mais. Imóvel vazio e de fácil visitação, só ligar e agendar! Cod:NBAP11723  Rev.03Jul", 500000,100,312,40,1,0,1,N/A,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-botafogo-zona-sul-rio-de-janeiro-rj-40m2-id-2600634058/
Barra da Tijuca, Rio de Janeiro,"Apartamento no melhor da Barra da Tijuca, a 2 minutos a pé do metrô. Guarita 24 horas na rua, 3 quartos, sendo 2 suítes. 2 lavabos. Piscina e churrasqueira.", 1980000,2000,10000,300,3,1,2,1,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-300m2-id-2641510162/
Ipanema, Rio de Janeiro,"CORRETOR JORGE CURVELLO CRECI/RJ 070592EXCELENTE LOCALIZAÇÃO . PRÓXIMO À PRAIA, ESCOLAS, RESTAURANTES, SUPERMERCADOS E AO VASTO COMÉRCIO; PRÉDIO COM PORTARIA E SEGURANÇA 24 HORAS; ÓTIMO APARTAMENTO COM VISTA PARCIAL MAR, IMÓVEL CLARO E SILENCIOSO, COMPOSTO DE: AMPLA SALA PARA 2 AMBIENTES, PISO FRIO EM CERÂMICA CLARA, LAVABO, 4 QUARTOS SENDO 1 SUÍTE COM CLOSET, ARMÁRIOS EMBUTIDOS, BANHEIRO SOCIAL COM ARMÁRIO E BOX BLINDEX, COPA COZINHA EQUIPADA COM ARMÁRIOS, ÁREA DE SERVIÇO E 2 DEPENDÊNCIAS COM 1 BANHEIRO DE SERVIÇO.1 VAGA DE GARAGEM NA ESCRITURA E POSSIBILIDADE DE ALUGAR OUTRA VAGA NO CONDOMÍNIO.CORRETOR JORGE CURVELLO CRECI/RJ 070592", 3050000,3700,1113,178,4,1,4,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-ipanema-zona-sul-rio-de-janeiro-rj-178m2-id-2642047318/
Pechincha, Rio de Janeiro,"Oportunidade para realizar um bom negócio e comprar o seu apartamento!Localização privilegiada em Jacarepaguá, Estrada do Capenha próximo a Estrada do Pau Ferro.Apartamento de 97m² com 2quartos (1 suíte), sala ampla, cozinha, área de serviço e dependência, piso em porcelanato, requinte e conforto ao seu alcance. Documentação OK!Estudamos propostas. Visitas agendadas.", 430000,450,1100,97,2,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pechincha-zona-oeste-rio-de-janeiro-rj-97m2-id-2641416694/
Jacarepaguá, Rio de Janeiro,"Excelente apartamento de 2 quartos no condomínio Weekend na Estrada dos Bandeirantes 8041.O imóvel possui um lindo closet no quarto principal com entrada para o banheiro da suíte, armários planejados na cozinha e banheiros, todos os armários da marca Italínea.Vista eterna para as montanhas, excelente vista.Cortina de vidro e ar condicionado split.enho outros no Recreio, Jacarepaguá, Freguesia,Taquara, Tijuca, Grajaú, Flamengo, Catete, Gloria, Laranjeiras, Largo do Machado, Botafogo, Copacabana, Humaita, Gavea, Jardim Botanico, Ipanema, Urca, Leme, Leblon, Alto Leblon, São Conrado, Joá,na ABM, Jardim Oceânico, Lucio Costa, Pepê, Dulcidio Cardoso, Parque das Rosas, Le Park, Península, Atlantys Duplex, Barra Golden, Blue Coast, Costa Bella, Itapoã, Lyon, Porto Seguro, Saint George, Saint Germain, Summer Coast, Sunset, Jatiuca, Sol Marapendi, Key West, Key Biscaine, San Filipo, Villa Borguese, Estrela do Mar, Royal, Wonderful, Paradiso, Sunset, Lake Buena Vista, Via Barra, Costabella, Royal, Barra One, Costa Blanca, Summer Coast, Portal da Barra, Mar de Prata, North Coast, Residencial Vitoria, Costa Bela, Barramares, Ilha do Cozumel, Lanai, Maximo, Barraleme, Savoir Vivre, Barrabela, Sheraton, Summer Dreams, Fanny, Waterways, Monaco, Golden Green, RHR, Barra Royal Plaza, Alfa Barra, La Reserve, Rosa Maior, Long Beach, Rosa da Barra, Mediterraneo, Riviera Del Fiori, Varanda das Rosas, Palm Springs, Liberty Place, Rosa da Barra, California Park, Rosa dos Mares, Rosa dos Ventos, Mandala, Novo Leblon, Nova Ipanema, Bourbon, Barra Deck, Solar da Barra, Nau da Barra, Mundo Novo, Americas Park, Malibu, Solar da Barr, Vistta Laguna, Santa Monica Jardins, Barra Sunday, Viva Viver, Barrabali, Barra Sul, Pontões, Pedra de Itauna, Riserva Uno, Riserva Golf, London Green, Blue Land, Blue One, Ventanas, Libertá, Whyndhan, Peninsula Monet, Atmosfera, Peninsula Fit, Saint Martin, 360 on thepark, Via Bela, Peninsula Way, Vila do Pan, Ilha Pura, Liberty Green, Aquagreen, Barra Central Park, Peninsula Smart, Mandarim, Spacio LagunaRio2, Rio 2, Front Lake, Alsacia, Genova, Borgonha, Sicilia, Sardenha, Verona, San Remo, Fontana de Trevi, Green Park, Verano, Maayan, Majestic, Reserva Jardim, Reserva do Parque, Normandie, Bretanha, Provence, Verano Stay, Verano Comfort Stay, Essence Condominium, Soho Residence, Union Square, Union Suites, Union Home, Estrelas Full Condominium, Like Cyrela, Fontano de Trevi, Portal do Atlantico, Freedom Barra, Jardim da Barra, Soleil, Barra Fun, Barramais, Quality Green, Milano, Origami, Villa d Italia, Vila de Italia, Orizontti da Barra, Joia da Barra, Borabora, Bora Bora, Coppe Barra, Grand Village, Villa Luna,`Barra Corinto, VilLA Cielo, Villa Stella, Vila Firenze, Villa de Espana, Pan Privilege, Pan Prime, Barra Premier, Pan Paradiso, Solar Aroazes,Costa Allegra, Costa Alegro, Vila Del mar, Grand Pix, Barramais, Barra mais, Personalise, Barra Quality, Vila Messina, Reserva Carioca, Barra Único, Barra Top Life, Villa Sole.", 425000,700,112,64,2,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jacarepagua-zona-oeste-rio-de-janeiro-rj-64m2-id-2641786235/
